ticker,date,open,high,low,close,volume,tr,atr,atr_pct,move_pct,move_in_atr
AAPL,2021-06-01,121.92198599710954,122.18516577367905,120.81076927511776,121.14218139648438,67637100,1.374396498561282,,,,
AAPL,2021-06-02,121.14216055572481,122.07792145343016,120.9179717914318,121.9024658203125,59278900,1.1599496619983682,,,0.006275967751808941,
AAPL,2021-06-03,121.53206925104124,121.6977752920281,120.02120080570538,120.42085266113281,76229200,1.8812650146071235,,,-0.012154086869445488,
AAPL,2021-06-04,120.93748419375007,122.97471980574441,120.72303755703825,122.71153259277344,75169300,2.5538671446116012,,,0.019022286265375096,
AAPL,2021-06-07,122.98443979955707,123.13065406520676,121.67827588309044,122.72126007080078,71057600,1.4523781821163197,,,7.927109882675043e-05,
AAPL,2021-06-08,123.40359727053726,125.21664395698274,123.02344459916287,123.5400619506836,74403800,2.495383886181955,,,0.006672045898244741,
AAPL,2021-06-09,123.99818609803275,124.52455300706954,123.32560491924683,123.92020416259766,56877900,1.1989480878227141,,,0.003077076422916259,
AAPL,2021-06-10,123.81299241371467,124.95345787476269,122.7602659341765,122.92597198486328,71186400,2.193191940586189,,,-0.008023164458556147,
AAPL,2021-06-11,123.33536251537065,124.22239035571975,122.91621888119515,124.13465881347656,53522400,1.3061714745246036,,,0.00983263999541216,
AAPL,2021-06-14,124.59278699385679,127.24410590291394,123.8617230721818,127.18562316894531,96906500,3.3823828307321406,,,0.024577860725046155,
AAPL,2021-06-15,126.65930332972108,127.30264335178651,126.12318664466655,126.36687469482422,62746300,1.179456707119968,,,-0.006437429433620184,
AAPL,2021-06-16,127.07841452715692,127.58528973592168,125.21664949570912,126.86396789550781,91815000,2.3686402402125566,,,0.0039337302745206994,
AAPL,2021-06-17,126.52279301183641,129.20336059736883,126.37657131032402,128.46253967285156,96721700,2.8267892870448037,,,0.012600676171979913,
AAPL,2021-06-18,127.40983331102534,128.1896229684165,126.95169870686416,127.16614532470703,108953300,1.5108409659873985,1.7608598266869315,0.013846923032783122,-0.010091613877835413,
AAPL,2021-06-21,127.01018237446559,129.06690958900398,125.9477063159808,128.95968627929688,79663300,3.1192032730231887,1.8578843585680929,0.014406706562113875,0.014103918539090748,1.0185597555282988
AAPL,2021-06-22,128.79396232556323,130.6947253937975,128.29682937988724,130.5972442626953,74783600,2.3978960139102696,1.8964566196639627,0.014521413758541914,0.012698216246058984,0.8814100704634463
AAPL,2021-06-23,130.39253480000346,130.92865119213846,129.8661605700781,130.3242950439453,60214200,1.062490622060352,1.8368876198351334,0.014094744339232647,-0.0020900074905176778,-0.14392589628460073
AAPL,2021-06-24,131.0554380741672,131.240643382898,129.57381047785972,130.0417022705078,68711000,1.6668329050382908,1.824740854492502,0.014031966843195772,-0.002168381370044701,-0.1538432565966467
AAPL,2021-06-25,130.09045210076698,130.50958846206157,129.4568541641173,129.74928283691406,70783700,1.0527342979442835,1.769597529024772,0.013638591985506654,-0.0022486589185480685,-0.16025258209888543
AAPL,2021-06-28,130.04163948891443,131.83517920756188,129.9831567614525,131.37704467773438,62111300,2.0858963706478164,1.7921903034264182,0.013641578769126906,0.01254543998417546,0.9198486176217564
AAPL,2021-06-29,131.39652484834153,133.04385750975646,130.9578895823714,132.8878936767578,64556100,2.08596792738507,1.8131744194234647,0.013644391292963885,0.011500098839409304,0.8430181750983167
AAPL,2021-06-30,132.73196707347742,133.9406648079474,132.43953852296474,133.5020294189453,63261400,1.5011262849826608,1.7908852669634072,0.01341466698864476,0.004621457419449736,0.3387074820870111
AAPL,2021-07-01,133.15111722207564,133.86268195374564,132.3323143115352,133.80419921875,52485800,1.5303676422104218,1.772276865195337,0.013245300786845467,0.002263409785752714,0.1687264982178569
AAPL,2021-07-02,134.41828334809892,136.46526832234767,134.27207651002422,136.42628479003906,78852600,2.6610691035976686,1.8357620250812179,0.013456072837477526,0.019596437081935987,1.4795010998465308
AAPL,2021-07-06,136.53350195950557,139.53572463895688,136.53350195950557,138.43426513671875,108181800,3.109439848917816,1.9267390124981179,0.013918078812317568,0.014718427242741252,1.0938129884187195
AAPL,2021-07-07,139.91589835234652,141.2318195282519,139.0581266890823,140.91990661621094,104911600,2.79755439153314,1.9889401110006195,0.014113975511049755,0.017955391875251036,1.2900768933252789
AAPL,2021-07-08,138.0053823208354,140.42276298269945,137.11835448019005,139.62347412109375,105575500,3.801552136020888,2.1184123985020675,0.015172322647299221,-0.009199782530710608,-0.6518207802973831
AAPL,2021-07-09,139.14579827567587,141.97257211610253,139.0483171610971,141.4462127685547,99890800,2.9242549550054378,2.175972581109451,0.015383745796502497,0.013054671923433866,0.8604267274633582
AAPL,2021-07-12,142.5184555206525,142.62567880479006,140.364247675173,140.85162353515625,76299700,2.2614311296170513,2.1820767631457083,0.015492024219380523,-0.004203641948132968,-0.2732521717232657
AAPL,2021-07-13,140.39352411006757,143.7369310790402,140.00362927408963,141.96287536621094,100827100,3.733301804950571,2.2928785518460555,0.016151254656763533,0.007889520923962381,0.5092633998139888
AAPL,2021-07-14,144.3607540301203,145.79364043052715,143.95134516697595,145.3842315673828,127050800,3.8307650643162106,2.4027275884510666,0.016526741329147845,0.024100358578579506,1.4921663419186564
AAPL,2021-07-15,145.47196100861444,146.21276700697837,143.37623575739534,144.73114013671875,106820300,2.8365312495830324,2.433713564246207,0.016815410712215942,-0.004492175139099368,-0.2718125158270988
AAPL,2021-07-16,144.7116519617399,145.9788173432772,142.19679065127386,142.69390869140625,93251400,3.782026692003342,2.5300216448002883,0.017730410975508298,-0.0140759717873296,-0.8370875994782445
AAPL,2021-07-19,140.12058929133983,140.43251704679776,138.0931035014654,138.85340881347656,121434600,4.600805189940843,2.677934755167471,0.019286056986651097,-0.02691425242429414,-1.5179711548407895
