date,strategy_equity,benchmark_equity,strategy_drawdown
2021-06-01,1.0,1.0,0.0
2021-06-02,1.0,1.0034955175248212,0.0
2021-06-03,1.0,1.0013145687251919,0.0
2021-06-04,1.0,1.0111657421010867,0.0
2021-06-07,1.0,1.010869595467482,0.0
2021-06-08,1.0,1.0087865920779862,0.0
2021-06-09,1.0,1.0057814942427912,0.0
2021-06-10,1.0,1.0102436492330025,0.0
2021-06-11,1.0,1.011822267345238,0.0
2021-06-14,1.0,1.013485474789159,0.0
2021-06-15,1.0,1.0107446123504689,0.0
2021-06-16,1.0,1.0046166447656846,0.0
2021-06-17,1.0,1.0035678843668108,0.0
2021-06-18,1.0,0.9890935203991672,0.0
2021-06-21,1.0,1.0022656913005483,0.0
2021-06-22,0.9997226155667617,1.008046029847467,-0.00027738443323832573
2021-06-23,1.000837118125265,1.009302843271699,0.0
2021-06-24,1.0209710842819608,1.0189699157576395,0.0
2021-06-25,1.0223590699948422,1.0239982465421928,0.0
2021-06-28,1.0083283648138575,1.0241185152389636,-0.013723852600100117
2021-06-29,1.0104768387827454,1.024697831967462,-0.011622365919008004
2021-06-30,1.0075074121000285,1.0287001489339347,-0.014526851016139153
2021-07-01,1.008769066440543,1.032165934805744,-0.01329278915123977
2021-07-02,1.011900551328018,1.0383523505645678,-0.010229790074515632
2021-07-06,1.0146599001604728,1.0331608067667768,-0.0075307884092113975
2021-07-07,1.0182406380057536,1.0317375771650323,-0.004028361570763361
2021-07-08,1.0176337449524624,1.023943381595985,-0.0046219818271907576
2021-07-09,1.0118675145415135,1.0381157014329856,-0.01026210434400665
2021-07-12,1.01996815703364,1.0430424347984342,-0.0023386235143531
2021-07-13,1.0151257757413512,1.0397578627012238,-0.007075101562435848
2021-07-14,1.0132240001852446,1.0385857814832644,-0.008935285143646832
2021-07-15,1.0134557065899155,1.0328057838555609,-0.008708646175527801
2021-07-16,1.0083875087300098,1.0223681246327407,-0.013666002165856339
2021-07-19,1.0083369259481372,1.0070207695875355,-0.013715478698473116
2021-07-20,0.9859958319080833,1.0227932338540928,-0.03556797132629963
2021-07-21,0.9870792701006971,1.0355449577694242,-0.03450822800870057
2021-07-22,0.9784523121811772,1.0350611790544526,-0.042946513707641354
2021-07-23,0.976303652698193,1.0418270799133802,-0.04504818184562254
2021-07-26,0.976784091931114,1.0463007104558428,-0.04457824985497316
2021-07-27,0.977128461597464,1.0407787513601163,-0.04424141157920802
2021-07-28,0.9781832545290889,1.0434041198514352,-0.04320968704857886
2021-07-29,0.9746348097296499,1.0500379413613248,-0.04668052709253423
2021-07-30,0.9804257965528775,1.0435068020522733,-0.04101618958804387
2021-08-02,0.9872160432536269,1.0416731250291105,-0.034374446094944444
2021-08-03,0.99492923722721,1.050737573246097,-0.026829940255501894
2021-08-04,0.9990971381358111,1.0458408926977087,-0.022753191654228067
2021-08-05,0.9885872093745299,1.0542323886232352,-0.03303326748055613
2021-08-06,0.9863190828898943,1.0576040402379043,-0.03525178986784916
2021-08-09,0.9926910049760317,1.0552513350464285,-0.029019222198478856
2021-08-10,1.0031688316362073,1.0575161502297563,-0.018770546397883114
2021-08-11,1.0035678495228118,1.0595574156657745,-0.018380255062563466
2021-08-12,1.0081927606132266,1.060910994801681,-0.013856491126632231
2021-08-13,1.0007920210996593,1.061755672659206,-0.021095375908673386
2021-08-16,0.9997338749263135,1.0616546810128047,-0.022130380345373957
2021-08-17,0.9875613464045336,1.052304496096099,-0.03403669475000015
2021-08-18,0.9868935614375705,1.0406941692012999,-0.034689875209353405
2021-08-19,0.9927173595142815,1.0385834125366176,-0.02899344403596882
2021-08-20,0.9940813255321003,1.0449526639418407,-0.027659308057867094
2021-08-23,1.000310465540941,1.057110603522282,-0.02156639981099051
2021-08-24,0.9974755484403658,1.0588529740296087,-0.024339317060689702
2021-08-25,0.9977673468650665,1.0626523628851063,-0.024053900289552566
2021-08-26,0.9934073709115937,1.0550478278298927,-0.028318523239975302
2021-08-27,1.0013784234725327,1.0659776276600523,-0.020521798199937047
2021-08-30,0.992573590327861,1.0664505629003034,-0.02913406897943549
2021-08-31,0.9926895106183771,1.0635954181800258,-0.029020683874418807
2021-09-01,1.0019802758152554,1.0618074428940492,-0.019933108413357714
2021-09-02,0.9977059395576597,1.0650629839789991,-0.024113964614513428
2021-09-03,1.0026417038578594,1.0637657869840236,-0.019286145851948322
2021-09-07,1.0115961337458337,1.0609063127958491,-0.010527550021210086
2021-09-08,1.006372538546568,1.0582146144293547,-0.015636904799362528
2021-09-09,1.0166347205660111,1.054276986401879,-0.005599157474936778
2021-09-10,1.0202188270961128,1.050023247460124,-0.002093435625059037
2021-09-13,1.0160759177500462,1.0550398208374265,-0.006145739231156466
2021-09-14,1.0215546936551203,1.047009685352638,-0.0007867845684842445
2021-09-15,1.0180961413537701,1.0545122331222463,-0.0041696980700660635
2021-09-16,1.0212500452927822,1.0534182504282075,-0.0010847702481532329
2021-09-17,1.0254385990997315,1.0471644411549716,0.0
2021-09-20,1.0214835081126872,1.028072746342234,-0.003856974947614167
2021-09-21,1.0283698682285978,1.030079839931757,0.0
2021-09-22,1.0178983417475815,1.0428646890242885,-0.010182646151480346
2021-09-23,1.006769928402032,1.0594225525357952,-0.02100405748349321
2021-09-24,1.0111208069170863,1.0628129106531248,-0.016773207621518127
2021-09-27,1.0104309369711555,1.0651093298517247,-0.017444045971847344
2021-09-28,1.0095718082439256,1.045978912025152,-0.018279473723838757
2021-09-29,1.0127590312374477,1.0475226910042836,-0.015180177359766733
2021-09-30,1.0083016211703122,1.0366815469068509,-0.019514619864206884
2021-10-01,1.00544419888961,1.0512436300575958,-0.022293213801059863
2021-10-04,1.0162925163871168,1.0395336660195371,-0.011744171250646085
2021-10-05,1.0050888853996236,1.0500511841643865,-0.02263872517878851
2021-10-06,1.0024661138302204,1.0533512017657787,-0.0251891417656932
2021-10-07,1.001985899211505,1.064414831686211,-0.02565610859693912
2021-10-08,1.005455124616316,1.0662712466831583,-0.022282589484805992
2021-10-11,1.0061567532730393,1.0578190975040414,-0.021600316813853437
2021-10-12,1.0116178088041106,1.0541671452753079,-0.01628991663606716
2021-10-13,1.0066218422147015,1.055334012516422,-0.021148058384244495
2021-10-14,1.008910173821457,1.0703820635892953,-0.018922855490370205
2021-10-15,1.0152734866276585,1.0812892935965581,-0.012735088809533335
2021-10-18,1.0177442196205557,1.0839158437090808,-0.010332516477116416
2021-10-19,1.022131799784902,1.0916187440228442,-0.006065977462409555
2021-10-20,1.0236533896972648,1.094112731778579,-0.004586363989307896
2021-10-21,1.0321444864443978,1.0946960682455367,0.0
2021-10-22,1.0356016347070347,1.0944856266440135,0.0
2021-10-25,1.0324455547280575,1.1013480312329378,-0.003047581109574038
2021-10-26,1.035635637325793,1.1039778604951813,0.0
2021-10-27,1.0352796765715662,1.0921417532450677,-0.0003437123457299407
2021-10-28,1.0387029622659174,1.10346358307325,0.0
2021-10-29,1.0418542498262018,1.1070437421437112,0.0
2021-11-01,1.0454444858279262,1.1128438024371885,0.0
2021-11-02,1.0505623072239485,1.1168187534213005,0.0
2021-11-03,1.0550083112965587,1.1249013230177753,0.0
2021-11-04,1.0580517932139788,1.134744218120998,0.0
2021-11-05,1.0729392205556891,1.1421986324326314,0.0
2021-11-08,1.0716301491883347,1.146863220261863,-0.0012200797046793
2021-11-09,1.066253792756016,1.1397218010613908,-0.0062309473561891204
2021-11-10,1.054413934294705,1.1299268816352381,-0.01726592327512244
2021-11-11,1.0570272772428557,1.1312436854317975,-0.01483023735919764
2021-11-12,1.0556317610252877,1.1391536147162142,-0.01613088532772411
2021-11-15,1.054307203369388,1.139757035844893,-0.017365398551328237
2021-11-16,1.0430310280650845,1.1451333400207029,-0.027875010921042498
2021-11-17,1.0473182320890777,1.139590738287131,-0.023879254272522576
2021-11-18,1.0484877656289748,1.1399244305217302,-0.0227892265081433
2021-11-19,1.0535780842794422,1.1340029438494992,-0.018044951573509938
2021-11-22,1.0465719413123704,1.1343986342894734,-0.024574811637198546
2021-11-23,1.0403062835623882,1.1393256837499446,-0.030414525229490508
2021-11-24,1.0372936132048263,1.1433838648627055,-0.0332223919751965
2021-11-26,1.0384096547511372,1.1160541323151372,-0.03218221977817959
2021-11-29,1.0347761778301405,1.1270315055963211,-0.03556869018711373
2021-11-30,1.0416409562982911,1.105321981339279,-0.02917058455667998
2021-12-01,1.0512553525860315,1.0909434936309395,-0.020209782207818994
2021-12-02,1.0352929119785612,1.1085621087173838,-0.03508708401733174
2021-12-03,1.0347066444281723,1.0981721509939266,-0.03563349665577109
2021-12-06,1.0341311983806023,1.1119315321872016,-0.03616982344534636
2021-12-07,1.03220486404553,1.1344874833164504,-0.03796520411385684
2021-12-08,1.0334432920691337,1.1350390412501565,-0.03681096536493467
2021-12-09,1.0333117985165738,1.1272261137296917,-0.03693351988623528
2021-12-10,1.046020476529708,1.1421752424719194,-0.025088787426411185
2021-12-13,1.027461174151965,1.1286851404360938,-0.04238641437692103
